,Release year,Title,Domestic,International,Worldwide
0,2015,Star Wars Ep. VII: The Force Awakens,936662225,1122000000,2058662225
1,2009,Avatar,760507625,2023411357,2783918982
2,1997,Titanic,658672302,1548943366,2207615668
3,2015,Jurassic World,652198010,1018130015,1670328025
4,2012,The Avengers,623279547,896200000,1519479547
5,2008,The Dark Knight,533345358,469546000,1002891358
6,2016,Finding Dory,483931392,477100000,961031392
7,1999,Star Wars Ep. I: The Phantom Menace,474544677,552500000,1027044677
8,1977,Star Wars Ep. IV: A New Hope,460998007,325600000,786598007
9,2015,Avengers: Age of Ultron,459005868,945700000,1404705868
10,2012,The Dark Knight Rises,448139099,636300000,1084439099
11,2004,Shrek 2,441226247,495781885,937008132
12,1982,ET: The Extra-Terrestrial,435110554,357854772,792965326
13,2013,The Hunger Games: Catching Fire,424668047,440200000,864868047
14,2006,Pirates of the Caribbean: Dead Man's Chest,423315812,642900000,1066215812
15,1994,The Lion King,422780140,564700000,987480140
16,2010,Toy Story 3,415004880,654813349,1069818229
17,2013,Iron Man 3,408992272,806400000,1215392272
18,2016,Captain America: Civil War,408080554,743600000,1151680554
19,2012,The Hunger Games,408010692,269912687,677923379
20,2002,Spider-Man,403706375,418000000,821706375
21,2009,Transformers: Revenge of the Fallen,402111870,434407829,836519699
22,2013,Frozen,400738009,873496971,1274234980
23,1993,Jurassic Park,395708305,643104279,1038812584
24,2011,Harry Potter and the Deathly Hallows: Part II,381011219,960500000,1341511219
25,2003,Finding Nemo,380529370,555900000,936429370
26,2005,Star Wars Ep. III: Revenge of the Sith,380270577,468728300,848998877
27,2003,The Lord of the Rings: The Return of the King,377845905,763562762,1141408667
28,2004,Spider-Man 2,373524485,410180516,783705001
29,2004,The Passion of the Christ,370782930,251637737,622420667
30,2013,Despicable Me 2,368065385,606808379,974873764
31,2016,The Jungle Book,363976270,599900000,963876270
32,2016,The Secret Life of Pets,363388255,441600000,804988255
33,2016,Deadpool,363070709,420700000,783770709
34,2015,Inside Out,356461711,497461374,853923085
35,2011,Transformers: Dark of the Moon,352390543,771400000,1123790543
36,2015,Furious 7,351032910,1162986161,1514019071
37,2014,American Sniper,350126372,197200000,547326372
38,2002,The Lord of the Rings: The Two Towers,342548984,592154195,934703179
39,2016,Zootopia,341268248,680500000,1021768248
40,2014,The Hunger Games: Mockingjay - Part 1,337135885,429516403,766652288
41,2007,Spider-Man 3,336530303,554345000,890875303
42,2015,Minions,336045770,827578711,1163624481
43,2010,Alice in Wonderland,334191110,691300000,1025491110
44,2014,Guardians of the Galaxy,333172112,438000000,771172112
45,2016,Batman v Superman: Dawn of Justice,330360194,537800000,868160194
46,1994,Forrest Gump,330151138,349706026,679857164
47,2007,Shrek the Third,322719944,484610992,807330936
48,2007,Transformers,319246193,389026399,708272592
49,2008,Iron Man,318604126,263839000,582443126
50,2001,Harry Potter and the Sorcererâs Stone,317575550,657179821,974755371
51,2008,Indiana Jones and the Kingdom of the Crystal Skull,317023851,469534294,786558145
52,2001,The Lord of the Rings: The Fellowship of the Ring,315544750,571672938,887217688
53,2016,Suicide Squad,313774166,405100000,718874166
54,2010,Iron Man 2,312433331,311128000,623561331
55,2002,Star Wars Ep. II: Attack of the Clones,310676740,346018875,656695615
56,2007,Pirates of the Caribbean: At World's End,309420425,654000000,963420425
57,1983,Star Wars Ep. VI: Return of the Jedi,309205079,263500000,572705079
58,1996,Independence Day,306169255,511231623,817400878
59,2003,Pirates of the Caribbean: The Curse of the Black Pearl,305411224,329542879,634954103
60,2012,Skyfall,304360277,806166704,1110526981
61,2012,The Hobbit: An Unexpected Journey,303003568,714000000,1017003568
62,2009,Harry Potter and the Half-Blood Prince,301959197,633124489,935083686
